Agegroup,mye21,mye21_weights
0-4,"3,580,269",5341.588939
5-9,"3,933,947",5869.259484
10-14,"4,034,833",6019.776538
15-19,"3,794,214",5660.784577
20-24,"4,034,799",6019.725811
25-29,"4,367,126",6515.541692
30-34,"4,655,236",6945.387938
35-39,"4,477,368",6680.017447
40-44,"4,226,466",6305.683746
45-49,"4,214,569",6287.933995
50-54,"4,640,482",6923.375681
55-59,"4,573,856",6823.972897
60-64,"3,956,096",5902.304725
65-69,"3,354,034",5004.057214
70-74,"3,345,116",4990.751987
75-79,"2,490,287",3715.388284
80-84,"1,698,442",2533.993675
85-89,"1,050,295",1566.989563
90+,"598,857",893.4658059
All ages,"67,026,292",100000
